Id;Codifarm;Nom;Municipi;Adreça;CP;Tipusdevia;Numerovia;Telefon;Nomabs
77289;F08008874;SAZ CARAZO, RAQUEL I MERCEDES;BARCELONA;VILADROSA;08031;CARRER;51-59;933546305;BARCELONA 8-E
77290;F08008881;GARCIA CASTELL, ESTER/GARCIA CASTELL, JOAN;BARCELONA;SEGLE XX;08032;CARRER;61;934553082;BARCELONA 7-G
77291;F08008909;LAVILLA BIARGE, RODOLF (HEREUS(;BARCELONA;ARGULLOS (PONT DRAC);08016;CARRER;49;933540304;BARCELONA 8-D
77292;F08008916;FERNANDEZ OROMI, JORDI;BARCELONA;FELIP II;08027;AVINGUDA;186;933528102;BARCELONA 9-C
77293;F08008923;ARANDA GUERRA, EVA;BARCELONA;ESCOCIA;08016;CARRER;64-66;933528503;BARCELONA 8-J
77294;F08008930;FONTANA MENDEZ, PILAR;HOSPITALET DE LLOBREGAT L';MARE DE DEU DEL PILAR;08906;CARRER;8;932491278;HOSPITALET DE LLOBREGAT 7
77295;F08008948;ESTIVILL SENTIS, ANNA;BARCELONA;SANT RAMON NONAT;08028;AVINGUDA;23;932490311;BARCELONA 4-C
77296;F08008955;GOTZENS BUSQUETS, JAUME;BADALONA;MARTI PUJOL (LOCAL 3);08911;AVINGUDA;230-246;933844754;BADALONA 2
77297;F08008962;FOLCH FLORES, DAVID;BARCELONA;FATIMA;08032;CARRER;10;932292630;BARCELONA 7-F
77298;F08008970;MARQUETA ARIÑO,MARIA CONCEPCIO/GARCIA MARQUETA,ESTER;BARCELONA;SELVA DEL MAR;08019;CARRER;34;933071208;BARCELONA 10-B
77299;F08008987;ORRIOS OLMO, FATIMA MARIA;BADALONA;FRANCESC LAYRET;08911;CARRER;205;933892113;BADALONA 2
77300;F08008994;CASELLAS ALBERCH, PERE;SANT ADRIA DE BESOS;ANDREU VIDAL;08930;CARRER;2;933811143;SANT ADRIA BESOS 1
77301;F08009003;ALCALDE ORELLANA, MARIA GRACIA;BARCELONA;MARAGALL;08041;PASSEIG;75;934369201;BARCELONA 7-G
77302;F08009010;SOLORES GIRON, MARIA BELEN;CORNELLA DE LLOBREGAT;LES ORIOLES;08940;CARRER;6;933760194;CORNELLA DE LLOBREGAT 4
77303;F08009028;BLANCO HERNANDEZ, MARTA;BARCELONA;BERTRAN;08023;CARRER;39;934172596;BARCELONA 5-E
77304;F08009035;COLLADO ANDANUCHE, MONTSERRAT;BARCELONA;JOAN GUELL;08028;CARRER;174;934904575;BARCELONA 4-A
77305;F08009042;OLLER DOLCET, HELENA;BARCELONA;LLORCA (LOCAL 1);08038;PLAÇA;5;933320334;BARCELONA 3-H
77306;F08009050;TRIAS JUNCOSA, ISABEL;HOSPITALET DE LLOBREGAT L';ROSELLO;08903;CARRER;33 BIS;932497433;HOSPITALET DE LLOBREGAT 4
77307;F08009067;LEON BERROCAL, RONALD ELISVAN;BARCELONA;DE SARRIA A VALLVIDRERA;08017;AVINGUDA;82;932031179;BARCELONA 5-D
77308;F08009074;MORTE GALVE, MERCEDES;TERRASSA;MONTCADA;08223;CARRETERA;144-146;937838340;TERRASSA-G
77309;F08009081;SABRIA PAU, ANA M.;TERRASSA;AMPLE;08225;CARRER;25;937353347;TERRASSA-E
77310;F08009099;NAUDIN FERRER, ANGELS;BARCELONA;PROVENÇA;08025;CARRER;536;932361397;BARCELONA 2-I
77311;F08009109;MARTINEZ GARCIA, M. LLUISA;BARCELONA;LA GLEVA;08006;CARRER;9;932097712;BARCELONA 5-B
77312;F08009116;LLINARES RECHE, TERESA/SANZ LOPEZ, M. CARME;BARCELONA;BISMARK;08024;CARRER;2;932842324;BARCELONA 7-A
77313;F08009123;CHACON PERELETEGUI, JOSEP LLUIS;BARCELONA;INDUSTRIA;08025;CARRER;128;933473316;BARCELONA 2-K
77314;F08009130;BAQUES ROVIRALTA, JOSEP;SABADELL;ONZE DE SETEMBRE;08208;AVINGUDA;61;937252330;SABADELL 2
77315;F08009148;DONADA BARS, BERNAT;BARCELONA;CALABRIA;08029;CARRER;242-244;932301392;BARCELONA 2-C
77316;F08009155;ALVAREZ CANDAU, ANNA MARIA;BARCELONA;CASANOVA;08011;CARRER;93;934537930;BARCELONA 2-E
77317;F08009162;GARRELL CAPDEVILA, JOAN;SABADELL;BORRAS;08202;CARRER;8;;SABADELL 2
77318;F08009170;GUERRERO ANARTE, GLORIA;TERRASSA;SANT ANTONI;08221;CARRER;21;937839927;TERRASSA-A
77319;F08009187;GINE MASSA, M.PILAR;BARCELONA;SARRIA;08017;AVINGUDA;125;932048263;BARCELONA 4-B
77320;F08009194;GATELL TORTAJADA, MONTSERRAT;BADALONA;GUIFRE;08912;CARRER;329;933870163;BADALONA 3
